TestCaseNo,phase,Sample,operatingSystem,HOW,isTrimmed,baseRecalibration,Mapper,M_Version,Variant Caller,VC_Version,ReferenceGenom,Duplicates,Variant Filter,FilterPass,SOMATICfilter,remove_indels,Sort,File Link,Result VCF Count,Kim yaptı :),Slurm_id,Donanım,ElapsedTime
TestCase 155,done,LL,,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1RwdnB0iHh2EBxOTPr2K59iYPgh2gOkEB?usp=share_link,,GÜL EDA,29303,a062,03:16:30
TestCase 156,done,NC,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1mwJcPWevZL-VMV-W0zOZvlXFEM471x4_?usp=sharing,,GÜL EDA,658815,s020,8:33:53
TestCase 157,done,LL,Linux,Local,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/13Zu12yNi96xdRkQ0XzD7mvp_oXEe3WOU?usp=sharing,,GAMZE,,,
TestCase 158,done,LL,Linux,Local + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1f7oCHLJkxsbYWPYfwKmKZvhwC-n6us5X?usp=sharing,,GAMZE,,,
TestCase 159,done,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1nG9mtUIQHH0jq09Rb9ys_R7ke8WR0oAN?usp=sharing,,GÜL EDA,658693,s008,2:30:06
TestCase 160,done,EA,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1iUDA0pAZW5d-wkqfhq9kOnSmk8jahdju?usp=share_link,,GUL EDA,664682,s004,06:19:42
TestCase 161,done,LL,,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Zk9U3XQ-PtX9WPPEd5HmiH1NeBMF9khf?usp=share_link,,GÜL EDA,29303,a062,02:32:36
TestCase 162,done,NC,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/16gFyokwJjLooHXg9lOJgfSHVs2mN_Gfd?usp=sharing,,GÜL EDA,658815,s020,6:24:13
TestCase 163,done,LL,Linux,Local,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1k9FzKzcOqCnLIEhbGjBWyeNpO5uN0Kbe?usp=sharing,,GAMZE,,,
TestCase 164,done,LL,Linux,Local + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/file/d/18klk5AlaArrDcu-Uo4BA0NHtsqrgvAFu/view?usp=sharing,,GAMZE,,,
TestCase 165,done,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/15aaRh7RdN3-O9P8_r4mWSCvRF7P-ZF5s?usp=sharing,,GÜL EDA,658693,s008,3:32:01
TestCase 166,done,EA,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/11W_Ar5CA-RP9wUBfkeu9D-UrWJJD53WY?usp=share_link,,GUL EDA,664682,s004,08:32:12
TestCase 167,done,LL,,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1T3ikpDtSbAN7ZQWfpBFKDc5fs7muHtzg?usp=share_link,,GÜL EDA,29303,a062,03:16:30
TestCase 168,done,NC,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1lux6hcvBRDGW3J6wZ7N9r5qthnewlQdi?usp=sharing,,GÜL EDA,658815,s020,9:05:42
TestCase 169,done,LL,Linux,Local,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1ZGJDJsZHQ2q0YOPQvd-qWzcYHOTBZhA_?usp=sharing,,GAMZE,,,
TestCase 170,done,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/file/d/1LQ8LxDCmYrRTGey74lnRxLW8jqMJdzV0/view?usp=sharing,,GAMZE,,,
TestCase 171,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/18Um7Eo57qudYYSNijf4HYY-TkSheYP4q?usp=sharing,,GÜL EDA,658696,s028,3:02:11
TestCase 172,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1VE0n871upyH9O33jNIJcEfHOi5SFwrYx?usp=share_link,,GUL EDA,664679,s067,08:53:30
TestCase 173,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1wGXIB7Mn3RKoxlYMHqJlrwb_8DcN9w6I?usp=share_link,,GÜL EDA,29304,a057,02:53:08
TestCase 174,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1KeFW5JRrWc1pIGuniBdVy5MfQI2sZMev?usp=sharing,,GÜL EDA,658818,s022,7:10:35
TestCase 175,done,LL,Linux,Local,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1REeVwd4H217XCe0Vf8NKt0vIJXt7mGcS?usp=sharing,,GAMZE,,,
TestCase 176,done,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/file/d/1JYxkk_E24qgzkRUbMYId6Sn4NXkIdROy/view?usp=sharing,,GAMZE,,,
TestCase 177,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1A6EcNVssFwIcmaEshf0J6ndUucF7MebZ?usp=sharing,,GÜL EDA,658696,s028,3:51:14
TestCase 178,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1r0o01kibN26PneNXroov7VesfgAJy_pc?usp=share_link,,GUL EDA,664679,s067,12:00:05
TestCase 179,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/164mc4w3XNp58to9oFUca2bEiwGUZehO4?usp=share_link,,GÜL EDA,29304,a057,03:54:07
TestCase 180,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/17f525kcRsQlSudplvE89GR2nVhAllsR1?usp=sharing,,GÜL EDA,658818,s022,10:56:36
TestCase 181,done,LL,Linux,Local,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1qhQaTfiYv6ar-RoAigpGKxpGkEmz7Int?usp=sharing,,GAMZE,,,
TestCase 182,done,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/file/d/1sI4ITarpwJq196iCQ2B8XAAwE0a0pPrj/view?usp=sharing,,GAMZE,,,
TestCase 183,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1HJ8_4WI0ZNmW5iTS-7cDPVB_KAT2KEqX?usp=sharing,,GÜL EDA,658696,s028,2:28:14
TestCase 184,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1XQ09fu4Lmuf3nSradkI0lB_tff2-OYZY?usp=share_link,,GUL EDA,664679,s067,07:06:47
TestCase 185,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1LJt6pHE1yhnf_K6_om32tSxm31TIOZ9l?usp=share_link,,GÜL EDA,29304,a057,02:30:39
TestCase 186,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1BZVJWs4-LF47rW0BMHuCfxFb-uSL1mkl?usp=sharing,,GÜL EDA,658818,s022,6:09:56
TestCase 187,done,LL,Linux,Local,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1U-vsy1BcnGxwbxT43JtjSAnYAG1Eo2yx?usp=sharing,,GAMZE,,,
TestCase 188,done,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/file/d/1947pDd6fZVgeWbRNJAQRtlF3pvaK9hXL/view?usp=sharing,,GAMZE,,,
TestCase 189,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1hqT1veYtg3ANTeeLZwZ5M_q5tVWjoOMd?usp=sharing,,GÜL EDA,658696,s028,3:52:38
TestCase 190,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1p_KUXQ45r63XustQVssxiRg4vsq_LoJD?usp=share_link,,GUL EDA,664679,s067,12:24:31
TestCase 191,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Veqsl4fMGvV_tOuSaIpQOHcIIVfEgmGL?usp=share_link,,GÜL EDA,29304,a057,03:51:21
TestCase 192,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1XOhxZ9pvl8xDx4-TQ7RK2uTuNAK5QnzZ?usp=sharing,,GÜL EDA,658818,s022,9:49:26
TestCase 193,done,LL,Linux,Local,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1yYsL5trBScTIa4KAps3BSgzAw_IC6lYw?usp=sharing,,GAMZE,,,
TestCase 194,done,LL,Linux,Local + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/file/d/1u1RVDZOEypzXmJEjJBrmOsHxHhXedw5O/view?usp=sharing,,GAMZE,,,
TestCase 195,done,LL,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1SjomkMU7UHuUNE9w9caPps2E08ORKXEK?usp=sharing,,GÜL EDA,655629,s022,1:23:18
TestCase 196,done,EA,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1nos7SHfVgEmTXAVrxVgylT-L8mLKJ1Zk?usp=share_link,,GUL EDA,664683,s023,03:11:37
TestCase 197,done,LL,,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1yHMuSdHkW8yIFq3tmt_-LUm1jzethL2R?usp=share_link,,GÜL EDA,29193,a043,01:25:44
TestCase 198,done,NC,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1MfecbP1TbyFNVNSa1-L_v52h4NQPGffR?usp=sharing,,GÜL EDA,655356,s023,2:42:53
TestCase 199,done,LL,Linux,Local,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Jppm7P0Io55xCbbrUKrf3VFHS9NXyr-t?usp=sharing,,GAMZE,,,
TestCase 200,done,LL,Linux,Local + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/file/d/1ZG5UbbMlkKt8vDGG4lKZXgXLP8RQ9xfd/view?usp=sharing,,GAMZE,,,
TestCase 201,done,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1aY3z3eGQJ5bYaW2Ce7a77VfLJiNR9_xf?usp=sharing,,GÜL EDA,655629,s022,0:44:06
TestCase 202,done,EA,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1PuvIleO2C7ZXe6jh8XdUIglwEEnTrsnv?usp=share_link,,GUL EDA,664683,s023,02:00:47
TestCase 203,done,LL,,Altay + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1ziSErxfmI8D5R2mEiQ-MxPLNSCQd96nQ?usp=share_link,,GÜL EDA,29193,a043,00:41:23
TestCase 204,done,NC,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1tyGNUhbWOCgXB8vcxZQCmcB7ZVdjSTkL?usp=sharing,,GÜL EDA,655595,f010,0:55:57
TestCase 205,done,LL,Linux,Local,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1uw0o25jTecH3WZRDAfC2VqdDvWStNf2L?usp=sharing,,GAMZE,,,
TestCase 206,done,LL,Linux,Local + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1FgnU8eVZmnwZt9VTLidihsa_-Ab3wdar?usp=sharing,,GAMZE,,,
TestCase 207,done,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1v8rfJ7LVl6kG_NaSn6OfR9CqLHbTgalw?usp=sharing,,GÜL EDA,655629,s022,0:37:34
TestCase 208,done,EA,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1sjW7hxpo1q5cerSzEICGx8ygM3v6H5LY?usp=share_link,,GUL EDA,664683,s023,01:59:32
TestCase 209,done,LL,,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1N6HmkvPyMMV-NJ_ugdUVVmJtsaI94IIt?usp=share_link,,GÜL EDA,29193,a043,00:43:39
TestCase 210,done,NC,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1ImgcUG03MxA6IA6fCDYM0OHJV10R8bPN?usp=sharing,,GÜL EDA,655595,f010,1:01:53
TestCase 211,done,LL,Linux,Local,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1lcioJy1O22B8zE0egawV2VkAQdOahL-m?usp=sharing,,GAMZE,,,
TestCase 212,done,LL,Linux,Local + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/file/d/1ZM5G83z8ZZDVXmyXYCDyGnmBqW6hVaYb/view?usp=sharing,,GAMZE,,,
TestCase 213,done,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1tP9mYpPyIvXd8OrnIL8Fq3_cES7W172B?usp=sharing,,GÜL EDA,655629,s022,1:22:52
TestCase 214,done,EA,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1vFtqslZ1a7gQ4Lg9OLOoPBSRXfq24o_o?usp=share_link,,GUL EDA,664683,s023,03:46:06
TestCase 215,done,LL,,Altay + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1L_Ka1HKzJjgty0zJKYRjognYSj7N1ly8?usp=share_link,,GÜL EDA,29193,a043,01:22:33
TestCase 216,done,NC,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1hSV7fiVYKstVmvWDcwN6uFF_SrHtTooI?usp=sharing,,GÜL EDA,655595,f010,2:25:31
TestCase 217,done,LL,Linux,Local,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1DuFedKeht8xgTduDp9pymcbymDfZVPIe?usp=sharing,,GAMZE,,,
TestCase 218,done,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/file/d/1kykOSAbgygnh1pc3ha5JWsvlXp9kxBxX/view?usp=sharing,,GAMZE,,,
TestCase 219,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1yRx-Pu0-EPhwYHnUxSiEtVxMHzCSf-Nu?usp=sharing,,GÜL EDA,655629,s022,1:37:23
TestCase 220,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/10E3nw6zudVj42_kidJM4iZhFRjGg9PfJ?usp=share_link,,GUL EDA,664680,f003,03:56:26
TestCase 221,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/153QIUZg0duUG0Bq_k8w-IbatuC7lZeM5?usp=share_link,,GÜL EDA,29194,a044,01:36:23
TestCase 222,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1VDgAhVC-d3z63F8XjVru0ZKD-5pEiNnt?usp=sharing,,GÜL EDA,655356,s023,2:41:39
TestCase 223,done,LL,Linux,Local,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/17CSHNBwkgM0-81jB1L3WF5lwCdslyT3K?usp=sharing,,GAMZE,,,
TestCase 224,done,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/file/d/1ybT0BTYCjWB1eNTXVXpcKjGXrGDcEHxS/view?usp=sharing,,GAMZE,,,
TestCase 225,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1qRvob0u7u_9ndIV0r-elKa0LsgqoI0jL?usp=sharing,,GÜL EDA,655629,s022,0:46:53
TestCase 226,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1_hZXXl8a0Cyrxnav7uCTJ3cQLJ0bkaUV?usp=share_link,,GUL EDA,664680,f003,02:06:25
TestCase 227,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1040_DtCvhl7esSHzl-kMEOR2SZliMl4S?usp=share_link,,GÜL EDA,29194,a044,00:46:40
TestCase 228,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Tvj2csY6zhVGMxh1cC0fcWgpBhFwOlfn?usp=sharing,,GÜL EDA,655356,s023,1:16:19
TestCase 229,done,LL,Linux,Local,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1wgIFiBqk_pHb-Rq99bF36f5xeLm1bCus?usp=sharing,,GAMZE,,,
TestCase 230,done,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/file/d/1_F1YtDC43HQwbBCiSiCys1jSx35ATjet/view?usp=sharing,,GAMZE,,,
TestCase 231,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Nm0gZjs-lqE-MTv_T8G40MGBFCAp2Y4W?usp=sharing,,GÜL EDA,655629,s022,0:49:57
TestCase 232,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1wR94vbmRUX1xPa2m2Z9TaqF_jfZPKpuj?usp=share_link,,GUL EDA,664680,f003,02:14:47
TestCase 233,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1GcntHVeKuCfyY8G6cxBOnXUJcmfzlTPT?usp=share_link,,GÜL EDA,29194,a044,00:53:31
TestCase 234,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1A0k55VyHQp_UCPSqJWjhjuKV4HcNBMTW?usp=sharing,,GÜL EDA,655356,s023,1:19:49
TestCase 235,done,LL,Linux,Local,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1VxDtxVdnoyH5Y1NVNyfinAvWFDWWOy2T?usp=sharing,,GAMZE,,,
TestCase 236,done,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/file/d/10TkZo3B5IMNdOXiOgmdxGUev2BwWMXTo/view?usp=sharing,,GAMZE,,,
TestCase 237,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1JsmwwjSDtoaoR1tIpMyyYWKag5I8gUjV?usp=sharing,,GÜL EDA,655629,s022,1:30:34
TestCase 238,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/19O4Sb3fdNSoqC7kYfDeNoWkMF6nXFZXk?usp=share_link,,GUL EDA,664680,f003,03:51:50
TestCase 239,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1kukQH2yiLnm66j61uGSd8S3hW21SjsXQ?usp=share_link,,GÜL EDA,29194,a044,01:27:47
TestCase 240,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1YDLG_EzvICMJ6fjmNWfQ4ziZMa1p5HOJ?usp=sharing,,GÜL EDA,655356,s023,2:39:04
TestCase 241,done,LL,Linux,Local,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1ztd4ydL4UV8du9SYMhYeO8mZDnKg-JmI?usp=sharing,,GAMZE,,,
TestCase 242,done,LL,Linux,Local + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/file/d/1XR-pJlYrb5EDWxvKZXjyG0L-5_412SL5/view?usp=sharing,,GAMZE,,,
TestCase 243,done,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1gpAAI9G-2f4NfeCgEjoP3jOisi5c2w_d?usp=sharing,,GÜL EDA,658694,s011,1:30:55
TestCase 244,done,EA,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1hxiYE-W2m1wEOBczvILIsTzj_2Vi2O0Y?usp=share_link,,GUL EDA,664684,s030,04:36:26
TestCase 245,done,LL,,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/10HWe-R5C5ieizaJABtRr7S0-86i_n4lp?usp=share_link,,GÜL EDA,29306,a059,01:31:54
TestCase 246,done,NC,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1IZH3Tqx8wrW69dTiHWxeW_NuwteqlrPR?usp=sharing,,GÜL EDA,658817,s021,2:34:52
TestCase 247,done,LL,Linux,Local,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1MGnhMg1BY7lZpdE-SvvoSNYlRDy5J45K?usp=sharing,,GAMZE,,,
TestCase 248,done,LL,Linux,Local + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/file/d/1oJNgBqqaFqIco4J1ScMCu8mBHyP41UXI/view?usp=sharing,,GAMZE,,,
TestCase 249,done,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/19miaDaZlws1ne145avDrLZWdm9Fedpv5?usp=sharing,,GÜL EDA,658694,s011,0:40:53
TestCase 250,done,EA,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1P6Jp6FAN3FXzZziIXWhJ6BCO9CjAQhTx?usp=share_link,,GUL EDA,664684,s030,02:48:39
TestCase 251,done,LL,,Altay + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Bd97WOTWKxw2n88rbYlnYXPdI5A6kZxA?usp=share_link,,GÜL EDA,29306,a059,00:46:40
TestCase 252,done,NC,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1IqQTXVh_uSmcT5vjg-lMHMMIB1lk1ws-?usp=sharing,,GÜL EDA,658817,s021,1:09:56
TestCase 253,done,LL,Linux,Local,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1LiDY82reiVG3WHrHNs-57O78XDQ2f9OL?usp=sharing,,GAMZE,,,
TestCase 254,done,LL,Linux,Local + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/file/d/13JlBkYW07gwxQsjnLIL1v_atFGh4Mne3/view?usp=sharing,,GAMZE,,,
TestCase 255,done,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Xs66tf9lUSNaQ_CPsne33ff0Ydct2EwF?usp=sharing,,GÜL EDA,658694,s011,0:42:50
TestCase 256,done,EA,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/10cilAatwCjKKP7mN2ikHPdZv6_Q89xiG?usp=share_link,,GUL EDA,664684,s030,02:50:05
TestCase 257,done,LL,,Altay + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Ph7S_ByMFDvEQAYXp5mQFinqHGTUgaf1?usp=share_link,,GÜL EDA,29306,a059,00:47:30
TestCase 258,done,NC,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/13WGAIpTE6T1nZ9A6x8kvWrjGMhxiGxYa?usp=sharing,,GÜL EDA,658817,s021,1:13:23
TestCase 259,done,LL,Linux,Local,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1MOfDX7GWqVgFonay4K4BKuVZCs5c0grY?usp=sharing,,GAMZE,,,
TestCase 260,done,LL,Linux,Local + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/file/d/1bzTKgGlHBGVd8gltRAi2IAcrWaIy-MF9/view?usp=sharing,,GAMZE,,,
TestCase 261,done,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1OUiVYTlXfeC1MYaxIi9JAENpv3UHHPbY?usp=sharing,,GÜL EDA,658694,s011,1:29:53
TestCase 262,done,EA,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Ib-PzwXgPp7YOk_13LsJwcKM_DMElICo?usp=share_link,,GUL EDA,664684,s030,04:16:05
TestCase 263,done,LL,,Altay + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1F9DcbPk7ndGDhqIjX0rpVssNfUkpC7vx?usp=share_link,,GÜL EDA,29306,a059,01:29:06
